GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS.util,AawsBlock,9,0,0,0,4,0,2,0,2,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS.util,PublishBlock,3,0,0,0,2,0,1,0,1,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS.util,Constants,14,0,0,0,3,0,2,0,2,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS.util,Utils.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS.util,AdBlock,3,0,0,0,2,0,1,0,1,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS.util,DaBlock,3,0,0,0,2,0,1,0,1,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS.util,RaBlock,3,0,0,0,2,0,1,0,1,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS.util,OptimizeBlock,3,0,0,0,2,0,1,0,1,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS.util,ArchiveBlock,3,0,0,0,2,0,1,0,1,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS.util,RsvBlock,3,0,0,0,2,0,1,0,1,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS.util,RsBlock,9,0,0,0,4,0,2,0,2,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS.util,Utils,933,0,172,0,198,0,96,0,10,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS.util,BuildProxy,33,0,0,0,12,0,6,0,6,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS.util,BackupBlock,3,0,0,0,2,0,1,0,1,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS,CastAIPAnalyzeBuilder,221,0,8,0,47,0,6,0,2,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS,CastAIPBuilder,737,0,44,0,163,0,53,0,31,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS,CastAIPPublishBuilder,184,0,10,0,43,0,7,0,2,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS,CastAIPArchiveDeliveryBuilder,166,0,6,0,38,0,5,0,2,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS,CastAIPOptimizeDatabaseBuilder,162,0,12,0,38,0,9,0,3,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS,CastAIPFinalBuilder,82,0,4,0,20,0,4,0,2,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS,CastAIPBuilder.DescriptorImpl,269,7,18,0,60,4,16,2,7,2
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS,CastAIPAcceptBuilder,340,0,16,0,70,0,11,0,3,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS,CastAIPValidationBuilder,372,0,40,0,51,0,22,0,2,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS,CastAIPSnapshotBuilder.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS,CastAIPCSSBackupBuilder,152,0,10,0,37,0,9,0,4,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS,CastAIPSnapshotBuilder,458,0,52,0,96,0,28,0,2,0
CAST Jenkins Plugin,com.castsoftware.jenkins.CastAIPWS,CastAIPDeliverBuilder,320,0,25,0,74,0,16,0,2,0
